id,curr_time,currency,instrument_name,expiry_datetime,strike,option_type,underlying_price,delta,mark_iv,bid_price,ask_price,mark_price,open_interest,volume
229,2026-03-21T15:28:17.340663+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70648.792,0.58056,24.51,,,0.0054,222.6,183.4
230,2026-03-21T15:28:17.340663+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70649.3483,-0.2109,26.65,,,0.0014,561.6,252.9
231,2026-03-21T15:28:17.340663+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.5706,0.24148,33.66,,,0.0021,1137.0,863.0
232,2026-03-21T15:28:17.340663+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.5706,0.53692,32.09,,,0.0062,2495.0,546.0
233,2026-03-21T15:28:17.340663+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.5706,-0.18262,33.03,,,0.0014,7362.0,7963.0
234,2026-03-21T15:28:22.341413+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70649.3638,0.33064,25.68,,,0.0024,84.9,88.0
235,2026-03-21T15:28:22.341413+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70649.3638,0.58087,24.51,,,0.0054,222.6,183.4
236,2026-03-21T15:28:22.341413+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70649.3588,-0.2109,26.65,,,0.0014,561.6,252.9
237,2026-03-21T15:28:22.341413+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.5518,0.24127,33.66,,,0.0021,1137.0,863.0
238,2026-03-21T15:28:22.341413+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.5518,0.53668,32.09,,,0.0062,2495.0,546.0
239,2026-03-21T15:28:22.341413+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.5418,-0.1829,33.04,,,0.0014,7362.0,7963.0
240,2026-03-21T15:28:27.387282+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70649.3178,0.3306,25.68,,,0.0024,84.9,88.0
241,2026-03-21T15:28:27.387282+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70649.3178,0.58086,24.5,,,0.0054,222.6,183.4
242,2026-03-21T15:28:27.387282+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70649.4604,-0.21087,26.65,,,0.0014,561.6,252.9
243,2026-03-21T15:28:27.387282+00:00,ETH,ETH-22MAR26-2175-C,2026-03-22T00:00:00+00:00,2175.0,C,2152.5518,0.24125,33.65,,,0.0021,1137.0,863.0
244,2026-03-21T15:28:27.387282+00:00,ETH,ETH-22MAR26-2150-C,2026-03-22T00:00:00+00:00,2150.0,C,2152.5518,0.53668,32.09,,,0.0062,2495.0,546.0
245,2026-03-21T15:28:27.387282+00:00,ETH,ETH-22MAR26-2125-P,2026-03-22T00:00:00+00:00,2125.0,P,2152.5518,-0.18284,33.04,,,0.0014,7362.0,7963.0
246,2026-03-21T15:28:32.387924+00:00,BTC,BTC-22MAR26-71000-C,2026-03-22T00:00:00+00:00,71000.0,C,70650.0329,0.33083,25.68,,,0.0024,84.9,88.0
247,2026-03-21T15:28:32.387924+00:00,BTC,BTC-22MAR26-70500-C,2026-03-22T00:00:00+00:00,70500.0,C,70650.0329,0.58128,24.5,,,0.0054,222.6,183.4
248,2026-03-21T15:28:32.387924+00:00,BTC,BTC-22MAR26-70000-P,2026-03-22T00:00:00+00:00,70000.0,P,70647.3807,-0.21149,26.65,,,0.0014,561.6,252.9
