id,curr_time,coin,open_time,close_time,last_price_dollars,liquidity_dollars,no_ask_dollars,no_bid_dollars,yes_ask_dollars,yes_bid_dollars,open_interest,floor_strike,cap_strike,strike_type,volume,volume_24h_fp
275,2026-03-21T14:10:01.625817+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
276,2026-03-21T14:10:01.625817+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
277,2026-03-21T14:10:01.625817+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
278,2026-03-21T14:10:02.628152+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
279,2026-03-21T14:10:02.628152+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
280,2026-03-21T14:10:02.628152+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
281,2026-03-21T14:10:02.628152+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
282,2026-03-21T14:10:03.629495+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
283,2026-03-21T14:10:03.629495+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
284,2026-03-21T14:10:03.629495+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
285,2026-03-21T14:10:03.629495+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
286,2026-03-21T14:10:04.630426+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
287,2026-03-21T14:10:04.630426+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
288,2026-03-21T14:10:04.630426+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
289,2026-03-21T14:10:04.630426+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
290,2026-03-21T14:10:05.632974+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
291,2026-03-21T14:10:05.632974+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
292,2026-03-21T14:10:05.632974+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
293,2026-03-21T14:10:05.632974+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
294,2026-03-21T14:10:06.63349+00:00,BTC,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.959,0.0,0.042,0.041,0.959,0.958,,70724.91,,greater_or_equal,,4778.0
295,2026-03-21T14:10:06.63349+00:00,ETH,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.902,0.0,0.067,0.049,0.951,0.933,,2155.45,,greater_or_equal,,26.0
296,2026-03-21T14:10:06.63349+00:00,XRP,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.37,0.0,0.64,0.6,0.4,0.36,,1.4394,,greater_or_equal,,0.0
297,2026-03-21T14:10:06.63349+00:00,SOL,2026-03-21T14:00:00+00:00,2026-03-21T14:15:00+00:00,0.66,0.0,0.34,0.3,0.7,0.66,,90.0243,,greater_or_equal,,8.0
